protein_1	A1URA3
protein_3397	Q55026
protein_3398	Q87PP5
protein_3399	A5D3X8
protein_3400	Q3ACA5
protein_3401	Q48A24
protein_3402	Q5L6W2
protein_3403	Q67NG0
protein_3404	Q6MAG9
protein_3405	P50186
protein_3406	Q045Q4
protein_3407	Q0JYN7
protein_3408	Q1CYD8
protein_3409	Q21J16
protein_3410	P33897
protein_3411	P9WPB7
protein_3412	A0A0H3KDT7
protein_3413	Q9XC07
protein_3414	A5WFW3
protein_3415	A0A351Z3Y0
protein_3416	A0A4R6U6E3
protein_3417	B8I2Y2
protein_3418	C1A6H2
protein_3419	O34996
protein_3420	P0DOW5
protein_3421	P49985
protein_3422	Q3YQU4
protein_3423	A1WUT7
protein_3424	A7HJQ9
protein_3425	B1XRT3
protein_3426	A0A7G3GAT5
protein_3427	C4ZA52
protein_3428	O84898
protein_3429	Q0A8Y9
protein_3430	Q12J93
protein_3431	A0A3A8GNV8
protein_3432	A0A431MSK9
protein_3433	A0A4R6F7C4
protein_3434	A0A523M4Z9
protein_3435	A5V0P4
protein_3436	Q7UCH6
protein_3437	A9G109
protein_3438	Q1J063
protein_3439	Q82D77
protein_3440	A5ICW2
protein_3441	A6TR79
protein_3442	A9HRQ4
protein_3443	B0S196
protein_3444	Q7VK79
protein_3445	A5UM85
protein_3446	B2URT9
protein_3447	Q03FR8
protein_3448	Q3IUI1
protein_3449	Q9A4F3
protein_3450	Q1AWF5
protein_3451	P17444
protein_3452	Q97K92
protein_3453	P33129
protein_3454	A7HZ43
protein_3455	Q0VST7
protein_3456	Q59984
protein_3457	Q892Q9
protein_3458	P76612
protein_3459	Q8EIX3
protein_3460	O51804
protein_3461	P9WJ68
protein_3462	O67012
protein_3463	Q04EE0
protein_3464	Q3MG83
protein_3465	P46337
protein_3466	B1XVJ0
protein_3467	A5EWF3
protein_3468	B5EDX8
protein_3469	Q1IPZ8
protein_3470	Q72UP9
protein_3471	P50512
protein_3472	Q1LLK1
protein_3473	Q1LLB5
protein_3474	F2JWN1
protein_3475	P0AG74
protein_3476	O50606
protein_3477	A1AV42
protein_3478	Q04WG0
protein_3479	Q8D3K0
protein_3480	A6LBD8
protein_3481	B3EPC6
protein_3482	A9NF61
protein_3483	B2UPI9
protein_3484	B5EJ91
protein_3485	A7HS58
protein_3486	B5ZYG2
protein_3487	Q0BTT3
protein_3488	Q55684
protein_3489	A1A3A4
protein_3490	A9WFU0
protein_3491	Q7VL87
protein_3492	P0AEF4
protein_3493	B3E9R5
protein_3494	Q60B71
protein_3495	Q6MAB5
protein_3496	Q897P5
protein_3497	Q8FPZ7
protein_3498	Q98I01
protein_3499	O31625
protein_3500	P22065
protein_3501	P54469
protein_3502	Q81GK5
protein_3503	P40870
protein_3504	Q1ATQ4
protein_3505	Q1LSE0
protein_3506	Q1LIP8
protein_3507	Q1LJ33
protein_3508	Q1LRA3
protein_3509	P06574
protein_3510	Q5HJD7
protein_3511	G2JZ41
protein_3512	P39071
protein_3513	Q5P9Z6
protein_3514	A9BDC5
protein_3515	B0RZW0
protein_3516	B1MY28
protein_3517	B2FLR2
protein_3518	B3EIU4
protein_3519	C6BXG0
protein_3520	Q28PI4
protein_3521	Q6FZ96
protein_3522	A1S6X9
protein_3523	B1VUC2
protein_3524	B2GIL9
protein_3525	B3QLZ5
protein_3526	B6IUZ1
protein_3527	B8I1A3
protein_3528	Q8ERW6
protein_3529	Q97FQ5
protein_3530	Q9RUV7
protein_3531	A1KVH9
protein_3532	Q9RX08
protein_3533	A0LM17
protein_3534	A1KWM6
protein_3535	A2RF00
protein_3536	A4SWQ6
protein_3537	O66112
protein_3538	P11959
protein_3539	Q1RHB5
protein_3540	C1A8X8
protein_3541	O34206
protein_3542	P15281
protein_3543	P49780
protein_3544	Q7WY59
protein_3545	P07791
protein_3546	Q9M5P3
protein_3547	O34580
protein_3548	P9WIX9
protein_3549	Q9X8L6
protein_3550	A1A1K3
protein_3551	A1WY69
protein_3552	Q8G4L4
protein_3553	P45053
protein_3554	A0LLH5
protein_3555	A6TXE5
protein_3556	A0A562I1C0
protein_3557	B3QKY6
protein_3558	B6IMY9
protein_3559	B8FY16
protein_3560	A7Z9T8
protein_3561	A9BAF1
protein_3562	B0B9I2
protein_3563	B1AJ20
protein_3564	B1ZWL2
protein_3565	Q11TP3
protein_3566	Q6MQ46
protein_3567	B0SI93
protein_3568	Q8EAX8
protein_3569	Q72KS4
protein_3570	P10805
protein_3571	A0RI42
protein_3572	B1AIH2
protein_3573	O67942
protein_3574	Q9KCJ4
protein_3575	Q9WX14
protein_3576	A6W2E0
protein_3577	Q16BP2
protein_3578	Q7NB37
protein_3579	P47908
protein_3580	A0R564
protein_3581	P39792
protein_3582	P17894
protein_3583	Q47156
protein_3584	A1VZU7
protein_3585	A8LPC2
protein_3586	P97043
protein_3587	Q2Y5A9
protein_3588	Q7VJY2
protein_3589	Q7TV89
protein_3590	A6V2H8
protein_3591	Q2RHC4
protein_3592	Q9X2I3
protein_3593	B8IZ74
protein_3594	A4XJV1
protein_3595	A5G743
protein_3596	A6QGJ5
protein_3597	A8EWN8
protein_3598	A9BGW2
protein_3599	O25991
protein_3600	Q2RFI8
protein_3601	Q7MVZ2
protein_3602	Q74EU2
protein_3603	A1RQS3
protein_3604	Q2SL36
protein_3605	A0Q4L0
protein_3606	A8YZL0
protein_3607	B3WAN3
protein_3608	C5C491
protein_3609	Q1LI42
protein_3610	Q1LKJ7
protein_3611	Q1LLR6
protein_3612	Q1LMY3
protein_3613	P0A5U7
protein_3614	Q01QW7
protein_3615	Q0AWP3
protein_3616	Q15PH6
protein_3617	Q1LTQ0
protein_3618	Q67JP1
protein_3619	Q7UFR2
protein_3620	Q8G6E0
protein_3621	Q8ZYE7
protein_3622	Q18CT6
protein_3623	Q1LI47
protein_3624	Q1LRI7
protein_3625	Q1LPX7
protein_3626	Q02GB1
protein_3627	Q54089
protein_3628	P9WGH1
protein_3629	A2BNE2
protein_3630	B0R3H6
protein_3631	O66745
protein_3632	P9WJZ4
protein_3633	P62181
protein_3634	P39569
protein_3635	P17896
protein_3636	P16497
protein_3637	A0AIK6
protein_3638	A1BI83
protein_3639	A1WLD5
protein_3640	A4J5Q6
protein_3641	A5EY33
protein_3642	Q5L1S1
protein_3643	A1BHN9
protein_3644	Q11QQ3
protein_3645	C4L3W2
protein_3646	P9WIS0
protein_3647	A3PJF5
protein_3648	A8F1N7
protein_3649	B2S3M6
protein_3650	B9EBJ1
protein_3651	Q9RUL2
protein_3652	P9WGU1
protein_3653	Q04Q03
protein_3654	P12859
protein_3655	B5YJL3
protein_3656	Q6APZ2
protein_3657	A3MZ85
protein_3658	A9KKU1
protein_3659	C1F924
protein_3660	Q21H35
protein_3661	Q6D8X9
protein_3662	Q8RB69
protein_3663	Q7V9U7
protein_3664	Q5JFG9
protein_3665	Q746H2
protein_3666	A9NE80
protein_3667	A4T0N1
protein_3668	A1WX30
protein_3669	O34136
protein_3670	Q6MNG0
protein_3671	B7GT47
protein_3672	A8ZVH5
protein_3673	Q8FW50
protein_3674	Q98JM5
protein_3675	Q9WYJ7
protein_3676	A0M1V1
protein_3677	A5MZY0
protein_3678	Q2FTH1
protein_3679	O31779
protein_3680	A5IEF4
protein_3681	Q2S289
protein_3682	B0S1J5
protein_3683	B1MZV1
protein_3684	B2GCY7
protein_3685	B3PB58
protein_3686	B6IRF1
protein_3687	A8IGY0
protein_3688	A9KF41
protein_3689	B0VRV3
protein_3690	B1YJ17
protein_3691	B2S264
protein_3692	Q55F83
protein_3693	Q8TGX8
protein_3694	Q04E63
protein_3695	Q1LI31
protein_3696	Q1LIA8
protein_3697	Q04F73
protein_3698	Q0VPZ5
protein_3699	Q1GHJ4
protein_3700	Q24X61
protein_3701	Q2RLU8
protein_3702	P08780
protein_3703	Q79G04
protein_3704	A0A0B5BIR6
protein_3705	B2A618
protein_3706	A0M3P0
protein_3707	B2KCF8
protein_3708	Q2LU46
protein_3709	Q985B9
protein_3710	A0A250JJV7
protein_3711	A0LGS1
protein_3712	A1T6P2
protein_3713	A2RIP3
protein_3714	A4VUD2
protein_3715	A5GPI9
protein_3716	Q2S280
protein_3717	Q38Y85
protein_3718	Q3M542
protein_3719	Q5WM28
protein_3720	Q8ENJ6
protein_3721	Q8RGS0
protein_3722	Q9PN90
protein_3723	A0AIR1
protein_3724	A1BJG7
protein_3725	P76004
protein_3726	P68924
protein_3727	A4J8T4
protein_3728	C6BVR1
protein_3729	Q47XH8
protein_3730	Q6L1F4
protein_3731	Q9JW77
protein_3732	B7J0N1
protein_3733	A5EY43
protein_3734	B0SAE4
protein_3735	P57281
protein_3736	Q0RP78
protein_3737	Q31QM1
protein_3738	Q74H61
protein_3739	Q93AK1
protein_3740	A6TDG7
protein_3741	A8EZG1
protein_3742	A9BJB9
protein_3743	B0K710
protein_3744	B1HRG8
protein_3745	Q03W63
protein_3746	Q0ICK0
protein_3747	Q1AYP4
protein_3748	B5YJW4
protein_3749	B8H427
protein_3750	C0QVE5
protein_3751	C6C065
protein_3752	O83754
protein_3753	Q47MY4
protein_3754	Q55971
protein_3755	Q5WYY6
protein_3756	Q6AFJ3
protein_3757	Q2GBA3
protein_3758	Q2S3F9
protein_3759	Q3ABL2
protein_3760	Q5FN17
protein_3761	Q7N3N4
protein_3762	Q9F326
protein_3763	P96193
protein_3764	P9WNE5
protein_3765	P9WN15
protein_3766	C5BHP3
protein_3767	P0A9K1
protein_3768	P80875
protein_3769	Q21SJ8
protein_3770	Q5GTE5
protein_3771	Q6MKB7
protein_3772	Q7V8Y5
protein_3773	Q8KA16
protein_3774	Q98QQ1
protein_3775	A9CH39
protein_3776	P76257
protein_3777	P21189
protein_3778	Q65R59
protein_3779	A0L9E2
protein_3780	A0A318SE89
protein_3781	A0A1D2TMK7
protein_3782	A1AT10
protein_3783	A1VCW7
protein_3784	A4G6R2
protein_3785	A5D2K5
protein_3786	A5N6N7
protein_3787	A0A1H6L8I8
protein_3788	A0A1T4WYC9
protein_3789	Q2JDJ2
protein_3790	Q2SRY4
protein_3791	Q47EE8
protein_3792	P42371
protein_3793	P19219
protein_3794	Q55081
protein_3795	A0L4W0
protein_3796	A1S6N9
protein_3797	A0M298
protein_3798	B3E058
protein_3799	Q4FN36
protein_3800	B2JVU2
protein_3801	D2QZ34
protein_3802	Q6AQ04
protein_3803	Q7M8K0
protein_3804	Q7W0A6
protein_3805	Q8CXG6
protein_3806	Q8Y2B4
protein_3807	P45558
protein_3808	Q04LY2
protein_3809	Q2RYB8
protein_3810	Q6F147
protein_3811	Q8RB70
protein_3812	A0A2V7SGW9
protein_3813	A1QYH6
protein_3814	A2RGV3
protein_3815	A4TSE5
protein_3816	A5FRM7
protein_3817	A6LBX7
protein_3818	A9KS68
protein_3819	B1N024
protein_3820	B2RHL6
protein_3821	Q6ABX8
protein_3822	Q7M826
protein_3823	A8A8L8
protein_3824	Q7UKI3
protein_3825	P04805
protein_3826	Q5LA67
protein_3827	Q67NK1
protein_3828	Q6MBV4
protein_3829	Q7UG12
protein_3830	Q87BS5
protein_3831	A0A5N1J4L4
protein_3832	C0QU08
protein_3833	Q898B8
protein_3834	A5UK48
protein_3835	Q2LXR3
protein_3836	Q47SC6
protein_3837	Q59486
protein_3838	Q5YQW3
protein_3839	Q6APT2
protein_3840	Q73P36
protein_3841	B2RM78
protein_3842	B7GRN1
protein_3843	B8H428
protein_3844	C0QKP5
protein_3845	B8D065
protein_3846	P75120
protein_3847	Q8YMZ8
protein_3848	B2A469
protein_3849	Q4FNR6
protein_3850	B0TAB6
protein_3851	Q1CVG4
protein_3852	Q4UK70
protein_3853	A1VY43
protein_3854	A5IRJ3
protein_3855	Q93LK7
protein_3856	P37956
protein_3857	P28264
protein_3858	Q9CLJ5
protein_3859	D4GU92
protein_3860	O08349
protein_3861	Q6ZZC6
protein_3862	P9WIS2
protein_3863	P23261
protein_3864	P54601
protein_3865	Q81QD4
protein_3866	P54379
protein_3867	Q8YQX7
protein_3868	A5FS18
protein_3869	Q2NGI3
protein_3870	Q4L6C4
protein_3871	Q86HX0
protein_3872	D0VWV4
protein_3873	A6SVP3
protein_3874	C1DAB4
protein_3875	Q6A8N5
protein_3876	Q9K6Y5
protein_3877	A4XL45
protein_3878	C1D5S2
protein_3879	O51413
protein_3880	P18641
protein_3881	P53528
protein_3882	P76213
protein_3883	P35594
protein_3884	Q5HME0
protein_3885	A2RN83
protein_3886	B0C2W4
protein_3887	B8D8B9
protein_3888	C6BUX8
protein_3889	O83530
protein_3890	P45612
protein_3891	P62221
protein_3892	Q03W48
protein_3893	A5VZT3
protein_3894	A7H906
protein_3895	A8YVS7
protein_3896	A9NHW0
protein_3897	B1H0B2
protein_3898	Q1CVH6
protein_3899	A0AIS5
protein_3900	A7H485
protein_3901	B5ENA4
protein_3902	Q0SRE2
protein_3903	O51568
protein_3904	P29226
protein_3905	P56428
protein_3906	P96115
protein_3907	Q04QJ9
protein_3908	Q47538
protein_3909	P0A6M2
protein_3910	P45470
protein_3911	A0LG61
protein_3912	B3ERM8
protein_3913	P0A8H6
protein_3914	P04993
protein_3915	Q5SJ65
protein_3916	P55044
protein_3917	Q817G5
protein_3918	A5CDI3
protein_3919	A9AY15
protein_3920	C5CD61
protein_3921	Q255V8
protein_3922	Q7WY67
protein_3923	Q05888
protein_3924	B8CXL0
protein_3925	Q5NPS5
protein_3926	A5IXT5
protein_3927	C0QRI1
protein_3928	C5BKM1
protein_3929	P0A1G0
protein_3930	P94378
protein_3931	Q0ARM2
protein_3932	P43779
protein_3933	B3PMK3
protein_3934	B5ZBB4
protein_3935	B8FUK8
protein_3936	B9KIQ1
protein_3937	C3M9Z5
protein_3938	B3WEJ1
protein_3939	B7GR16
protein_3940	B9DRU9
protein_3941	C1F8Z2
protein_3942	O51578
protein_3943	Q826F5
protein_3944	Q9Z3S6
protein_3945	Q4UKR8
protein_3946	O05307
protein_3947	O07747
protein_3948	B1XJZ5
protein_3949	B9DK35
protein_3950	O32200
protein_3951	P57340
protein_3952	Q0TNS5
protein_3953	A3DBK4
protein_3954	O67034
protein_3955	Q9K8H8
protein_3956	B1I1P4
protein_3957	Q63DL7
protein_3958	B3EG36
protein_3959	B8GUQ6
protein_3960	C0QKP4
protein_3961	Q5SKS1
protein_3962	Q9ZJJ7
protein_3963	B8GT02
protein_3964	A6LJZ9
protein_3965	Q82PM3
protein_3966	Q8EVC7
protein_3967	Q97JI4
protein_3968	A4QAA8
protein_3969	P0AE88
protein_3970	Q5FUX0
protein_3971	A2BTR7
protein_3972	Q72V65
protein_3973	Q9KNG7
protein_3974	P17904
protein_3975	Q9RRH3
protein_3976	P39375
protein_3977	A8F187
protein_3978	P0ACV1
protein_3979	A0A502GWJ3
protein_3980	A0A534CL29
protein_3981	Q0RPW3
protein_3982	Q72CE6
protein_3983	A0Q5J9
protein_3984	B0WQG0
protein_3985	Q05852
protein_3986	Q1QUD8
protein_3987	A0RH88
protein_3988	B3Q6P8
protein_3989	P35149
protein_3990	Q93LK9
protein_3991	P45453
protein_3992	P35150
protein_3993	Q83DP0
protein_3994	Q98DR6
protein_3995	Q0BR48
protein_3996	P0AG82
protein_3997	Q9Z7G7
protein_3998	A0R0S5
protein_3999	A1TNU7
protein_4000	A4FBL9
protein_4001	A5CCA2
protein_4002	O31809
protein_4003	O35002
protein_4004	O32032
protein_4005	Q05523
protein_4006	O32721
protein_4007	A5V1U3
protein_4008	A6WY74
protein_4009	A8LHP9
protein_4010	P42969
protein_4011	Q45712
protein_4012	A6TQ57
protein_4013	O31700
protein_4014	Q3IUI0
protein_4015	B1VAJ8
protein_4016	Q2GG58
protein_4017	A9NE17
protein_4018	D0MGU8
protein_4019	B2TLZ5
protein_4020	Q8KML8
protein_4021	P9WKA7
protein_4022	P9WLM1
protein_4023	Q2EEQ2
protein_4024	Q5NRL5
protein_4025	Q8D228
protein_4026	B9KAB7
protein_4027	P42641
protein_4028	B8FHR2
protein_4029	B9K7N7
protein_4030	C1F735
protein_4031	O66612
protein_4032	P59465
protein_4033	Q8G4G9
protein_4034	Q98KC4
protein_4035	Q9WYK0
protein_4036	A0M684
protein_4037	A1SCL9
protein_4038	P0AAI1
protein_4039	Q57QP5
protein_4040	P0C0Z7
protein_4041	P9WH05
protein_4042	B1AIY7
protein_4043	A0A2N0BQ91
protein_4044	A0A2V7RFR5
protein_4045	A0A6H9HSV3
protein_4046	Q6ABL2
protein_4047	Q73JT1
protein_4048	Q7VGS1
protein_4049	Q89AD3
protein_4050	Q8UJ65
protein_4051	O32123
protein_4052	P94446
protein_4053	Q9K6A3
protein_4054	Q04811
protein_4055	A0A1Z8AZZ8
protein_4056	P49782
protein_4057	O31687
protein_4058	P17969
protein_4059	P42064
protein_4060	Q45705
protein_4061	B1AIB0
protein_4062	B1YK83
protein_4063	B2S3M4
protein_4064	B4ETP7
protein_4065	Q1QEF7
protein_4066	P17445
protein_4067	P37568
protein_4068	A7X1M9
protein_4069	Q7V9C8
protein_4070	Q2S307
protein_4071	B1GZJ0
protein_4072	Q1MSA2
protein_4073	A9KIG5
protein_4074	Q9Z512
protein_4075	A0Q7Y8
protein_4076	A1T0X6
protein_4077	A3PNR5
protein_4078	Q0AAG2
protein_4079	Q47W31
protein_4080	A0Q5I2
protein_4081	B5YF84
protein_4082	Q9HM60
protein_4083	Q5PB75
protein_4084	Q6MKS2
protein_4085	Q7USC2
protein_4086	Q889U1
protein_4087	A0A423KY56
protein_4088	A0A5A9XQW1
protein_4089	B6YR15
protein_4090	C0QET6
protein_4091	C4XS52
protein_4092	P0A4N7
protein_4093	Q8RH88
protein_4094	A6LMN4
protein_4095	B1ZWP5
protein_4096	Q1Q7V4
protein_4097	Q2S2F9
protein_4098	Q7TU09
protein_4099	Q1LT29
protein_4100	Q7DDS7
protein_4101	Q8K9B0
protein_4102	Q9Z507
protein_4103	A0Q5W0
protein_4104	A1SZL2
protein_4105	B1HVC0
protein_4106	Q6LT86
protein_4107	A1AU17
protein_4108	C4L6N1
protein_4109	Q5SM25
protein_4110	P26907
protein_4111	Q4A696
protein_4112	A1AWE2
protein_4113	A9HLS1
protein_4114	B6EGP6
protein_4115	A8Z5Z0
protein_4116	B8G736
protein_4117	Q3A701
protein_4118	Q7VQF3
protein_4119	P0C0L2
protein_4120	A6QGC0
protein_4121	A0QVQ8
protein_4122	P9WFD5
protein_4123	Q8G6P9
protein_4124	P07869
protein_4125	A5V5Q2
protein_4126	B2V8C9
protein_4127	Q03MR7
protein_4128	Q3IYI4
protein_4129	Q7MA34
protein_4130	Q2RN77
protein_4131	Q7W0H1
protein_4132	A1SJZ1
protein_4133	A7MWQ3
protein_4134	A6TSJ6
protein_4135	A8FDP8
protein_4136	A9HZ10
protein_4137	B0S1C1
protein_4138	Q6D7W3
protein_4139	A5CRN8
protein_4140	B1I2Y8
protein_4141	C1A8L5
protein_4142	Q2N736
protein_4143	B6ITI5
protein_4144	B8I1A2
protein_4145	C0ZAN3
protein_4146	O32801
protein_4147	P0A697
protein_4148	A0A1H3NCN7
protein_4149	A0A1Q7GVB9
protein_4150	A0A1W9IW01
protein_4151	Q8EPQ5
protein_4152	Q8RI94
protein_4153	A0L7L5
protein_4154	A0A7X5J2N5
protein_4155	P0DO99
protein_4156	Q2GEM5
protein_4157	A0LH26
protein_4158	A8YXJ3
protein_4159	B3QZK4
protein_4160	B2KCC0
protein_4161	P55995
protein_4162	Q6MGP8
protein_4163	Q97FT9
protein_4164	Q24YW4
protein_4165	Q31LP5
protein_4166	Q828K9
protein_4167	Q1LHJ9
protein_4168	Q1LNE7
protein_4169	Q8NRC3
protein_4170	P75392
protein_4171	P51055
protein_4172	B2UMH5
protein_4173	P9WGC6
protein_4174	E8WLP7
protein_4175	Q38W03
protein_4176	B0RY61
protein_4177	Q5WER4
protein_4178	Q8EQ23
protein_4179	B4UIS1
protein_4180	B8D6X9
protein_4181	B9K9N0
protein_4182	O66827
protein_4183	Q0STN1
protein_4184	Q5M1R0
protein_4185	A2SPK0
protein_4186	B8I364
protein_4187	P28917
protein_4188	Q4L4Y3
protein_4189	Q5P728
protein_4190	Q68WT1
protein_4191	Q6MS38
protein_4192	Q7VH56
protein_4193	Q2J6D7
protein_4194	Q45056
protein_4195	Q5GRP0
protein_4196	A9KG88
protein_4197	A5FZ78
protein_4198	B8I3C7
protein_4199	Q97HB8
protein_4200	B8J992
protein_4201	Q9K974
protein_4202	Q3APM2
protein_4203	P33224
protein_4204	L0TCG5
protein_4205	P76215
protein_4206	A0A5Q4GS25
protein_4207	A0A6B2KNR6
protein_4208	A0A6S6UBM4
protein_4209	B7IHA2
protein_4210	B8HXS5
protein_4211	C5BNE0
protein_4212	P0AEV1
protein_4213	Q72EF3
protein_4214	P0AFN2
protein_4215	A0A0H2ZDT7
protein_4216	O32273
protein_4217	Q7WA41
protein_4218	C3MQ26
protein_4219	B8GW30
protein_4220	P76027
protein_4221	A0RNG2
protein_4222	A4Z0Q5
protein_4223	A5IAT1
protein_4224	A6TR78
protein_4225	A8F560
protein_4226	A9H271
protein_4227	A6LNA6
protein_4228	A7HZC4
protein_4229	A9B5H8
protein_4230	B0K213
protein_4231	B1LZP2
protein_4232	Q3A3J2
protein_4233	Q0SVK9
protein_4234	Q31QK9
protein_4235	P62670
protein_4236	O32020
protein_4237	Q836J8
protein_4238	Q8DT75
protein_4239	Q8REJ7
protein_4240	Q9PJF4
protein_4241	A0AIA4
protein_4242	Q8RFY0
protein_4243	Q9PK60
protein_4244	A0AIK5
protein_4245	A1BFN2
protein_4246	A1WAW3
protein_4247	C0ZB86
protein_4248	C5CF28
protein_4249	P18957
protein_4250	Q021H8
protein_4251	Q0B0W3
protein_4252	A0A1H7APH3
protein_4253	A0A1X9NNS7
protein_4254	Q7V5B7
protein_4255	A3DDC2
protein_4256	P74494
protein_4257	Q49WH7
protein_4258	B1I516
protein_4259	B1ZZZ4
protein_4260	B3DRX9
protein_4261	B5Y6V5
protein_4262	C3K3F7
protein_4263	Q31H84
protein_4264	Q3YRC1
protein_4265	Q4UMJ0
protein_4266	Q5SJC4
protein_4267	Q6A8K8
protein_4268	A5EX62
protein_4269	A5VA00
protein_4270	A6VR67
protein_4271	A8I6D2
protein_4272	A9KP29
protein_4273	A1ANL4
protein_4274	B3PF48
protein_4275	Q313K7
protein_4276	O34426
protein_4277	Q2RHH3
protein_4278	C6CAS5
protein_4279	Q2EES1
protein_4280	Q5PB86
protein_4281	C5C5Q7
protein_4282	O67708
protein_4283	P44687
protein_4284	P61534
protein_4285	Q03IZ7
protein_4286	A0A1L7NII1
protein_4287	A0A238D0L9
protein_4288	A0A2E2D9J1
protein_4289	Q2RNG0
protein_4290	Q31JS3
protein_4291	Q3JAN0
protein_4292	Q4K4I6
protein_4293	Q5SHY0
protein_4294	Q6ALW6
protein_4295	A1KRK1
protein_4296	C4Z088
protein_4297	Q8YRJ1
protein_4298	A9WFJ8
protein_4299	C0QM57
protein_4300	Q3KD42
protein_4301	P9WFX1
protein_4302	P0A9T4
protein_4303	Q8RU01
protein_4304	Q1LP77
protein_4305	Q1LRQ2
protein_4306	Q1LPJ9
protein_4307	Q1LM83
protein_4308	B3PNH3
protein_4309	O19922
protein_4310	Q6LUJ8
protein_4311	B1AI24
protein_4312	Q2RFI9
protein_4313	A9KQ99
protein_4314	Q891W4
protein_4315	P08005
protein_4316	Q73N17
protein_4317	A6L6E8
protein_4318	B8JAF5
protein_4319	C0ZH40
protein_4320	C6BV69
protein_4321	P36434
protein_4322	Q03EQ8
protein_4323	Q8EIX4
protein_4324	P0ADQ2
protein_4325	A0A061JV49
protein_4326	A6VXW3
protein_4327	B2A875
protein_4328	C1P5Z8
protein_4329	O34970
protein_4330	P71498
protein_4331	A9BEV2
protein_4332	B0BTY3
protein_4333	B1AJI8
protein_4334	B1ZZY2
protein_4335	B2UVB0
protein_4336	O50406
protein_4337	P9WQJ7
protein_4338	Q746Y3
protein_4339	Q5SIM2
protein_4340	Q6A7A2
protein_4341	Q6YQE1
protein_4342	Q8D387
protein_4343	A0A7X7ST29
protein_4344	A5G6M7
protein_4345	C7MC16
protein_4346	A0Q753
protein_4347	P47619
protein_4348	Q7VQW3
protein_4349	P9WHK0
protein_4350	Q9CEF5
protein_4351	P39603
protein_4352	Q9ZFB4
protein_4353	Q7AKG8
protein_4354	P9WP46
protein_4355	P0AFM6
protein_4356	P76141
protein_4357	B0TFI9
protein_4358	P17906
protein_4359	A0A7W0W0M3
protein_4360	A0A7Y2ENH7
protein_4361	A0A838HKD1
protein_4362	C6W5U6
protein_4363	B0TF70
protein_4364	B1Y6D4
protein_4365	B2RKL2
protein_4366	B3WC17
protein_4367	B7GM52
protein_4368	B3CUN9
protein_4369	Q026Q2
protein_4370	Q6NG14
protein_4371	P0ADS6
protein_4372	A0KRB5
protein_4373	P60974
protein_4374	Q7NAE3
protein_4375	A0LJK3
protein_4376	A5G2E2
protein_4377	A9KL08
protein_4378	Q1LIV4
protein_4379	Q7P0P8
protein_4380	P08337
protein_4381	A2RH76
protein_4382	P83847
protein_4383	A1U2V3
protein_4384	A4FG06
protein_4385	A5CF17
protein_4386	A5ILP7
protein_4387	A6TVI7
protein_4388	A0A221SUR3
protein_4389	A0A2E0Z0L1
protein_4390	O34765
protein_4391	P39067
protein_4392	Q08312
protein_4393	A0RH02
protein_4394	P37531
protein_4395	A0A2I0CR47
protein_4396	A0A2T3WD13
protein_4397	Q8ETS4
protein_4398	Q01367
protein_4399	Q9TM05
protein_4400	A6QBG7
protein_4401	P78004
protein_4402	Q6N8V0
protein_4403	Q7UZL6
protein_4404	Q88UZ7
protein_4405	Q8RA71
protein_4406	Q9K9P8
protein_4407	Q82EU4
protein_4408	P71370
protein_4409	Q67JC7
protein_4410	A5VA82
protein_4411	B1I6S2
protein_4412	P39650
protein_4413	Q07766
protein_4414	A4FB46
protein_4415	O06996
protein_4416	P12690
protein_4417	Q2LUR5
protein_4418	Q2Y9K4
protein_4419	Q49X88
protein_4420	Q5LIK3
protein_4421	A9KF42
protein_4422	B1AIA9
protein_4423	B1YJR2
protein_4424	B2S367
protein_4425	B3WEJ2
protein_4426	Q4A7W4
protein_4427	Q5GT34
protein_4428	Q65UK9
protein_4429	Q6MC67
protein_4430	Q7NR81
protein_4431	A0A839HNM6
protein_4432	O50274
protein_4433	P9WQE9
protein_4434	Q0VQU6
protein_4435	P15043
protein_4436	P09184
protein_4437	P9WMQ3
protein_4438	A0AK80
protein_4439	A0Q7G4
protein_4440	A7HK07
protein_4441	B3PS53
protein_4442	Q73KN7
protein_4443	B2A5L6
protein_4444	B3E789
protein_4445	B5YD88
protein_4446	B8FP44
protein_4447	A0A556APN5
protein_4448	Q13E22
protein_4449	Q4A8F6
protein_4450	Q7N2K4
protein_4451	A5D2Q9
protein_4452	Q3YR73
protein_4453	Q5FNP1
protein_4454	Q6G457
protein_4455	Q7NFD4
protein_4456	C4K2E2
protein_4457	Q6AQI3
protein_4458	P35485
protein_4459	P47513
protein_4460	Q7M825
protein_4461	P9WFD9
protein_4462	Q8NU98
protein_4463	P38490
protein_4464	Q9ZFB3
protein_4465	Q7W880
protein_4466	Q8DG79
protein_4467	Q8YXF0
protein_4468	Q9Z7H3
protein_4469	P0AAW9
protein_4470	P76344
protein_4471	C1CW06
protein_4472	C6E9G2
protein_4473	P47581
protein_4474	Q03UE1
protein_4475	Q0C5G6
protein_4476	Q11VI1
protein_4477	Q1MP37
protein_4478	Q2JLU3
protein_4479	Q2YBB7
protein_4480	Q3B2D5
protein_4481	Q38W92
protein_4482	Q6YPM0
protein_4483	Q9L516
protein_4484	A9IRA0
protein_4485	Q1IHC2
protein_4486	Q602M5
protein_4487	A8MV81
protein_4488	A0JWX7
protein_4489	A5V412
protein_4490	P76621
